CNFW01002104.1	ERS027644SCcontig002104
CNFW01001357.1	ERS027644SCcontig001357
CP000444.1	CP000448.1
LDJX01000004.1	LJDX02000241.1
AQQZ01000014.1	LDJX01000014.1
CP001878.2	CP002047.1
F6602contig563.1	LGKH01004874.1
CNFW01003396.1	ERS027644SCcontig003396
AABF01000281.1	Contig0103
AMSH01000113.1	LJCS01000113.1
JXMU01000030.1	contig31
LJRD01000047.1	PreICMP16945_Contig_385
AAOS02000086.1	gcontig_1106166534850
JYJF01000662.1	contig-662
GG668542.1	SCAFFOLD10
AM999887.1	CP002770.1
CNFW01001438.1	ERS027644SCcontig001438
JZAM01000120.1	LJDX02000025.1
Contig153	LKBH01000061.1
JH724281.1	supercont1.14
CNFW01003790.1	ERS027644SCcontig003790
BRHa_1003827	LADY01000027.1
CNFW01003041.1	ERS027644SCcontig003041
JMSP01000625.1	contig604
F6602contig3071.1	LGKH01002305.1
LFQK01000060.1	LHQM01000057.1
F6602contig3311.1	LGKH01002572.1
Contig125	LKBH01000030.1
JMSO01000007.1	contig252
CYAV01000125.1	ERS085366SCcontig000125
JZAM01000198.1	LJDX02000110.1
CSXD01000016.1	ERS075547SCcontig000016
JMSP01000263.1	LJET02000015.1
LKIU01000010.1	contig_7
LIUQ01000072.1	contig_138
LGEA01000164.1	P439contig81.1
F6602contig4916.1	LGKH01004354.1
CNFW01001399.1	ERS027644SCcontig001399
F6602contig4512.1	LGKH01003906.1
JXCG01000010.1	JZAM01000010.1
CXDQ01000035.1	ERS009857SCcontig000035
CP001056.1	CP002017.1
CNFW01003545.1	ERS027644SCcontig003545
JMSP01000594.1	contig556
HK1c0861	JPDT01000858.1
CP001737.1	CP002345.1
CP001612.1	CP002047.1
LGDE01000015.1	P404contig111.1
AJQY01000293.1	Contig_293
AWFK01000009.1	M0483_009
AEJC01000360.1	gcontig_1108499712577
LJDX02000145.1	LJET02000145.1
CNFW01004187.1	ERS027644SCcontig004187
F6602contig4555.1	LGKH01003953.1
HK1c2223	JPDT01002220.1
LJET02000210.1	contig50
JYJF01001119.1	contig-1122
LGDW01000305.1	P435contig361.1
LGTK01000030.1	LITJ01000030.1
LJPT01000052.1	PatICMP4303_Contig_174
LITJ01000043.1	contig00043
F6602contig5283.1	LGKH01004762.1
LDNZ01000127.1	NODE_201_contig131
HK1c1599	JPDT01001596.1
HK1c0154	JPDT01000153.1
F6602contig658.1	LGKH01004979.1
AAP83_Contigs_81	LJHY01000081.1
JMSO01000165.1	JZAM01000158.1
HK1c0842	JPDT01000840.1
JXCG01000002.1	LGBR01000002.1
CNFW01003232.1	ERS027644SCcontig003232
Contig196	LKBH01000108.1
CNFW01001992.1	ERS027644SCcontig001992
GG739972.1	supercont1.47
CNFW01001812.1	ERS027644SCcontig001812
HK1c2808	JPDT01002802.1
LGUV01000286.1	P046contig347.1
LJRD01000083.1	PreICMP16945_Contig_396
LGUP01000196.1	P002contig264.1
AJQY01000005.1	Contig_005
F6602contig4260.1	LGKH01003626.1
LJDX02000049.1	LJET02000049.1
JMSP01000085.1	LJDX02000204.1
F6602contig2477.1	LGKH01001643.1
JZAM01000248.1	LJDX02000166.1
ADGX01000268.1	ctg00008
LGUP01000268.1	P002contig327.1
ITZX_scaf_359	LJZR01000050.1
LGTK01000064.1	LITJ01000064.1
AMSH01000122.1	contig122
AJQY01000080.1	Contig_080
DS999563.1	GL629671.1
CNFW01000229.1	ERS027644SCcontig000229
GG739935.1	JH470347.1
AAP93_Contigs_34	LJHZ01000034.1
GG749029.1	JH376433.1
AEJC01000253.1	gcontig_1108499728049
B11479contig326.1	LFVR01000255.1
CBZV010000003.1	JQIT01000002.1
LJQL01000056.1	PgyICMP2189_Contig_142
AQQZ01000015.1	contig15
LJRN01000331.1	PtoICMP2844_Contig_48
LGUP01000022.1	P002contig117.1
F6602contig1541.1	LGKH01000604.1
CNFW01003574.1	ERS027644SCcontig003574
LIUQ01000161.1	contig_397
CNFW01000561.1	ERS027644SCcontig000561
LGUP01000175.1	P002contig248.1
CNFW01001220.1	ERS027644SCcontig001220
LJDX02000149.1	LJET02000149.1
JMSO01000445.1	JMSP01000347.1
HK1c2553	JPDT01002550.1
CP001431.1	FP929003.1
F6602contig1666.1	LGKH01000742.1
F6602contig2283.1	LGKH01001428.1
F6602contig4016.1	LGKH01003355.1
CNFW01001275.1	ERS027644SCcontig001275
LJDX02000213.1	contig290
AMRN01000001.1	AQQZ01000001.1
LJRD01000006.1	PreICMP16945_Contig_374
B11479contig160.1	LFVR01000069.1
F6602contig2650.1	LGKH01001836.1
F6602contig2466.1	LGKH01001631.1
F6602contig4522.1	LGKH01003917.1
LFZW01000002.1	LGRV01000007.1
CNFW01001304.1	ERS027644SCcontig001304
JQIT01000016.1	LHQM01000018.1
LJQL01000283.1	PgyICMP2189_Contig_206
CNFW01002644.1	ERS027644SCcontig002644
ADDO01000039.1	contig00068
F6602contig1273.1	LGKH01000306.1
LJQL01000332.1	PgyICMP2189_Contig_100
AEJC01000647.1	gcontig_1108499728065
AJHJ01000001.1	contig01
JYNY01000568.1	SAG1872
F6602contig1453.1	LGKH01000506.1
F6602contig2506.1	LGKH01001676.1
LGUW01000287.1	P092contig356.1
LJCS01000166.1	LJET02000075.1
LJCS01000157.1	LJDX02000065.1
CP002526.1	CP002534.1
LBWM01000006.1	UT36_C0006
AMSH01000134.1	contig134
CP002573.1	CP002831.1
AE016853.1	CP002534.1
LGDE01000112.1	P404contig2.1
JMSO01000110.1	JMSP01000223.1
LJPW01000040.1	PcaICMP2855_Contig_12
JZAM01000195.1	LJDX02000107.1
JXMU01000044.1	contig45
LJDX02000079.1	LJET02000079.1
JYJF01000029.1	contig-28
ALNM01000043.1	ctg120007584579
F6602contig3693.1	LGKH01002995.1
AKJT01000041.1	PMI21_contig_53.53
LFQK01000006.1	LIUQ01000014.1
JYJF01000489.1	contig-489
HK1c3012	JPDT01003006.1
CNFW01002712.1	ERS027644SCcontig002712
HK1c1407	JPDT01001404.1
LGDE01000146.1	P404contig228.1
CNFW01003403.1	ERS027644SCcontig003403
F6602contig2606.1	LGKH01001787.1
CNFW01000115.1	ERS027644SCcontig000115
LKKT01000077.1	contig00091
F6602contig2395.1	LGKH01001552.1
LJPT01000049.1	PatICMP4303_Contig_88
F6602contig46.1	LGKH01004002.1
CXZU01000024.1	ERS085374SCcontig000024
F6602contig1181.1	LGKH01000204.1
LJDX02000228.1	contig303
JAIW01000063.1	contig000063
LDVT01000194.1	contig1149
LJES02000152.1	L_contig000151
HK1c0452	JPDT01000451.1
Contig188	LKBH01000099.1
AEJC01000508.1	gcontig_1108499708079
JZAM01000142.1	contig142
F6602contig1838.1a	LGKH01000933.1
HK1c0544	JPDT01000543.1
LJRD01000415.1	PreICMP16945_Contig_99
LGUP01000402.1	P002contig79.1
LGTK01000059.1	LITJ01000059.1
AJHJ01000054.1	JMSO01000247.1
F6602contig4732.1	LGKH01004150.1
JMSO01000028.1	LJET02000069.1
LGUP01000190.1	P002contig260.1
JYJF01001108.1	contig-1109
ADDO01000042.1	LGTK01000001.1
F6602contig1342.1	LGKH01000383.1
HK1c0306	JPDT01000305.1
JMSP01000221.1	LJCS01000066.1
JXCW01000002.1	LJCS01000002.1
LITU01000001.1	LKIU01000001.1
AJHJ01000010.1	JMSP01000214.1
B11479contig431.1	LFVR01000375.1
F6602contig1714.1	LGKH01000796.1
JZAM01000194.1	LJCS01000194.1
F6602contig5138.1	LGKH01004601.1
F6602contig5354.1	LGKH01004841.1
JJQL01000006.1	scaffold47_1_size23459-refined
CQZO01000114.1	ERS020178SCcontig000114
LJQL01000289.1	PgyICMP2189_Contig_250
LGTK01000143.1	contig00143
F6602contig5049.1	LGKH01004502.1
CNFW01001691.1	ERS027644SCcontig001691
JH470338.1	JH724268.1
LJDX02000020.1	LJET02000020.1
F6602contig4833.1	LGKH01004262.1
AFNU02000019.1	LIXH01000019.1
CNFW01001753.1	ERS027644SCcontig001753
F6602contig3538.1	LGKH01002823.1
JMSP01000421.1	LJCS01000173.1
LDVT01000014.1	contig1509
CP000903.1	CP002017.1
AFNU02000022.1	LIXH01000022.1
LJCS01000093.1	contig093
GG749016.1	JH414887.1
F6602contig1656.1	LGKH01000731.1
AMSH01000067.1	LJDX02000271.1
CYAV01000007.1	ERS085366SCcontig000007
AQQZ01000052.1	JZAM01000052.1
F6602contig1051.1	LGKH01000060.1
Contig136	LKBH01000042.1
LJRP01000013.1	PttICMP459_Contig_35
JMSP01000307.1	LJDX02000072.1
CXZU01000036.1	ERS085374SCcontig000036
AJQY01000156.1	Contig_156
LJRP01000123.1	PttICMP459_Contig_75
BLOI2_C13	LFDU01000013.1
JZAM01000037.1	contig37
GL891987.1	supercont1.9
F6602contig3677.1	LGKH01002977.1
JMSO01000067.1	JZAM01000249.1
CNFW01000019.1	ERS027644SCcontig000019
F6602contig3042.1	LGKH01002273.1
HK1c1433	JPDT01001430.1
HK1c1338	JPDT01001335.1
F6602contig2113.1	LGKH01001240.1
JYJF01000904.1	contig-904
F6602contig5216.1	LGKH01004688.1
JMSO01000060.1	contig051
LIGE01000004.1	LITU01000009.1
JYJF01001016.1	contig-1016
CNFW01003279.1	ERS027644SCcontig003279
AQQZ01000012.1	JZAM01000012.1
LJQB01000060.1	PcoICMP19117_Contig_16
HK1c1789	JPDT01001786.1
GL629656.1	SCAFFOLD10
LGUP01000375.1	P002contig54.1
F6602contig384.1	LGKH01003158.1
JMSP01000197.1	JZAM01000359.1
AM421808.1	CP002130.1
HK1c1625	JPDT01001622.1
AE004091.2	CP002526.1
B11479contig119.1	LFVR01000023.1
F6602contig1026.1	LGKH01000032.1
LGDE01000052.1	P404contig145.1
HK1c1078	JPDT01001075.1
AMRN01000014.1	AMSH01000014.1
AEJC01000247.1	gcontig_1108499715945
ADGX01000251.1	ctg00411
JYJF01000023.1	contig-22
GG704583.1	GL891990.1
B11479contig468.1	LFVR01000416.1
AJQY01000003.1	Contig_003
JXMU01000003.1	LJET02000187.1
CQZO01000016.1	ERS020178SCcontig000016
LGUV01000035.1	P046contig128.1
JYNY01000615.1	SAG1942
JZAM01000151.1	contig151
HK1c0225	JPDT01000224.1
HK1c1925	JPDT01001922.1
AMSH01000098.1	JZAM01000098.1
CNFW01002527.1	ERS027644SCcontig002527
JMSP01000324.1	LJDX02000241.1
LJRP01000043.1	PttICMP459_Contig_137
JXMU01000013.1	contig13
AEJC01000388.1	gcontig_1108499705255
JMSP01000427.1	contig184
BHUMctg97	LFMX01000092.1
F6602contig4013.1	LGKH01003352.1
LGDE01000045.1	P404contig139.1
AKQO01000007.1	HpM2.contig.6
JZAM01000024.1	LJDX02000157.1
ITZX_scaf_189	LJZR01000034.1
INSLA289_contig_292	LHAT01000292.1
F6602contig316.1a	LGKH01002403.1
GG704576.1	supercont1.5
LJRN01000157.1	PtoICMP2844_Contig_51
CNFW01000386.1	ERS027644SCcontig000386
CP002831.1	CP003389.1
F6602contig2527.1	LGKH01001699.1
LJCS01000126.1	LJDX02000031.1
AWFT01000006.1	M1340_006
AAI_A_2195_scaffold50	HE972571.1
CNFW01003906.1	ERS027644SCcontig003906
LJET02000095.1	contig184
F6602contig3606.1	LGKH01002899.1
CQZO01000137.1	ERS020178SCcontig000137
LGDF01000146.1	P406contig59.2
JZAM01000445.1	contig445
LHQM01000031.1	contig_34
AJML01000006.1	ctg120004772318
JMSP01000325.1	contig061
F6602contig1966.1	LGKH01001075.1
LDNZ01000071.1	NODE_201_contig74
AJML01000027.1	ctg120004772314
CNFW01000247.1	ERS027644SCcontig000247
LITU01000075.1	contig_624
LDNZ01000181.1	NODE_201_contig187
AEJC01000064.1	gcontig_1108499717507
F6602contig4885.1	LGKH01004319.1
JJOY01000017.1	scaffold35_1_size26320-refined
F6602contig4095.1	LGKH01003442.1
CNFW01004354.1	ERS027644SCcontig004354
JYNY01000443.1	SAG1691
CXDQ01000305.1	ERS009857SCcontig000305
JPRF03000079.1	LHQM01000067.1
HK1c1247	JPDT01001244.1
AJHJ01000025.1	LJCS01000025.1
JMSO01000472.1	JZAM01000472.1
JYJF01000088.1	contig-87
KQ236758.1	supercont1.16
CXDQ01000220.1	ERS009857SCcontig000220
JMSO01000044.1	JZAM01000123.1
HK1c1450	JPDT01001447.1
JMSO01000199.1	JZAM01000282.1
LJRD01000446.1	PreICMP16945_Contig_17
AAOS02000014.1	gcontig_1106166664352
AMRN01000008.1	JXCG01000008.1
HK1c2544	JPDT01002541.1
B11479contig721.1	LFVR01000698.1
JMSP01000064.1	contig432
F6602contig835.1	LGKH01005176.1
LJPW01000028.1	PcaICMP2855_Contig_173
JXCG01000023.1	LJDX02000146.1
LDVT01000192.1	contig1153
LJRN01000321.1	PtoICMP2844_Contig_240
BRHa_1002867	LADY01000071.1
LGTO01000005.1	super9
LDVT01000223.1	contig1091
F6602contig4566.1	LGKH01003965.1
CNFW01000394.1	ERS027644SCcontig000394
AABF01000196.1	Contig0165
JH376433.1	KQ236756.1
JPRF03000004.1	LFQK01000097.1
ADGX01000013.1	ctg00268
CNFW01000717.1	ERS027644SCcontig000717
CXZU01000066.1	ERS085374SCcontig000066
AAI_A_2195_scaffold11	HE972532.1
LGUW01000134.1	P092contig219.1
JZAM01000212.1	LJCS01000212.1
HK1c2341	JPDT01002338.1
B11479contig777.1	LFVR01000759.1
CBZV010000030.1	LIUQ01000017.1
LFQK01000081.1	contig_82
F6602contig3198.1	LGKH01002445.1
LIUQ01000004.1	contig_29
LGDE01000114.1	P404contig200.1
HK1c0795	JPDT01000794.1
B11479contig605.1	LFVR01000569.1
F6602contig3364.1	LGKH01002630.1
LGDW01000263.1	P435contig323.1
LJCS01000171.1	LJET02000081.1
JYJF01000220.1	contig-220
GG749029.1	JH724281.1
Contig48	LKBH01000256.1
F6602contig5158.1	LGKH01004623.1
AM167904.1	FN563149.1
F6602contig3390.1	LGKH01002659.1
F6602contig5215.1	LGKH01004687.1
AMRN01000009.1	JZAM01000009.1
HK1c1913	JPDT01001910.1
F6602contig5031.1a	LGKH01004483.1
CXDQ01000074.1	ERS009857SCcontig000074
LJRD01000380.1	PreICMP16945_Contig_108
JXMU01000032.1	JZAM01000033.1
CNFW01000692.1	ERS027644SCcontig000692
CYFX01000159.1	ERS150873SCcontig000159
AMRN01000001.1	JXMU01000001.1
F6602contig4161.1	LGKH01003516.1
AJQY01000473.1	Contig_473
LDVT01000180.1	contig1175
Contig58	LKBH01000267.1
CNFW01002703.1	ERS027644SCcontig002703
F6602contig4139.1	LGKH01003491.1
JPRF03000005.1	contig_102
F6602contig2027.1	LGKH01001144.1
B11479contig734.1	LFVR01000712.1
CNFW01000242.1	ERS027644SCcontig000242
LHQM01000052.1	contig_55
JZAM01000056.1	LJET02000216.1
HK1c0234	JPDT01000233.1
B11479contig844.1	LFVR01000834.1
